"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de pâtes alimentaires (NAF rév. 2, niveau classe, poste 10.73)";"Codes"
"idBank";"010537278";""
"Dernière mise à jour";"05/04/2022 08:45";""
"Période";"";""
"2022-02";"90.49";"A"
"2022-01";"88.22";"A"
"2021-12";"89.37";"A"
"2021-11";"88.06";"A"
"2021-10";"93.03";"A"
"2021-09";"90.63";"A"
"2021-08";"92.26";"A"
"2021-07";"94.91";"A"
"2021-06";"93.45";"A"
"2021-05";"91.62";"A"
"2021-04";"91.95";"A"
"2021-03";"93.49";"A"
"2021-02";"93.42";"A"
"2021-01";"97.14";"A"
"2020-12";"98.69";"A"
"2020-11";"101.0";"A"
"2020-10";"96.42";"A"
"2020-09";"99.1";"A"
"2020-08";"100.58";"A"
"2020-07";"93.1";"A"
"2020-06";"88.11";"A"
"2020-05";"113.67";"A"
"2020-04";"115.24";"A"
"2020-03";"104.47";"A"
"2020-02";"103.54";"A"
"2020-01";"99.82";"A"
"2019-12";"95.79";"A"
"2019-11";"95.31";"A"
"2019-10";"95.96";"A"
"2019-09";"95.07";"A"
"2019-08";"96.05";"A"
"2019-07";"105.85";"A"
"2019-06";"101.29";"A"
"2019-05";"99.48";"A"
"2019-04";"94.7";"A"
"2019-03";"98.41";"A"
"2019-02";"99.2";"A"
"2019-01";"96.62";"A"
"2018-12";"97.06";"A"
"2018-11";"89.68";"A"
"2018-10";"88.77";"A"
"2018-09";"97.9";"A"
"2018-08";"103.79";"A"
"2018-07";"103.78";"A"
"2018-06";"99.49";"A"
"2018-05";"110.93";"A"
"2018-04";"99.64";"A"
"2018-03";"90.43";"A"
"2018-02";"89.91";"A"
"2018-01";"91.72";"A"
"2017-12";"98.13";"A"
"2017-11";"98.35";"A"
"2017-10";"95.52";"A"
"2017-09";"98.23";"A"
"2017-08";"96.33";"A"
"2017-07";"98.18";"A"
"2017-06";"98.29";"A"
"2017-05";"103.66";"A"
"2017-04";"102.48";"A"
"2017-03";"103.78";"A"
"2017-02";"95.95";"A"
"2017-01";"89.63";"A"
"2016-12";"94.82";"A"
"2016-11";"104.3";"A"
"2016-10";"98.33";"A"
"2016-09";"94.58";"A"
"2016-08";"96.51";"A"
"2016-07";"94.81";"A"
"2016-06";"100.09";"A"
"2016-05";"97.81";"A"
"2016-04";"100.43";"A"
"2016-03";"94.99";"A"
"2016-02";"101.07";"A"
"2016-01";"99.86";"A"
"2015-12";"99.08";"A"
"2015-11";"95.64";"A"
"2015-10";"104.6";"A"
"2015-09";"98.98";"A"
"2015-08";"98.13";"A"
"2015-07";"100.41";"A"
"2015-06";"101.06";"A"
"2015-05";"98.04";"A"
"2015-04";"99.81";"A"
"2015-03";"102.32";"A"
"2015-02";"99.5";"A"
"2015-01";"102.43";"A"
"2014-12";"100.59";"A"
"2014-11";"103.23";"A"
"2014-10";"101.95";"A"
"2014-09";"103.33";"A"
"2014-08";"101.04";"A"
"2014-07";"100.21";"A"
"2014-06";"92.76";"A"
"2014-05";"99.21";"A"
"2014-04";"100.32";"A"
"2014-03";"105.27";"A"
"2014-02";"103.95";"A"
"2014-01";"100.23";"A"
"2013-12";"98.82";"A"
"2013-11";"107.04";"A"
"2013-10";"104.01";"A"
"2013-09";"89.97";"A"
"2013-08";"94.34";"A"
"2013-07";"97.38";"A"
"2013-06";"95.06";"A"
"2013-05";"100.17";"A"
"2013-04";"98.22";"A"
"2013-03";"95.92";"A"
"2013-02";"97.72";"A"
"2013-01";"96.41";"A"
"2012-12";"95.89";"A"
