"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Construction aéronautique et spatiale (NAF rév. 2, niveau classe, poste 30.30)";"Codes"
"idBank";"010537808";""
"Dernière mise à jour";"05/05/2022 08:45";""
"Période";"";""
"2020-03";"80.53";"A"
"2020-02";"109.28";"A"
"2020-01";"103.87";"A"
"2019-12";"104.0";"A"
"2019-11";"112.56";"A"
"2019-10";"109.76";"A"
"2019-09";"114.54";"A"
"2019-08";"113.91";"A"
"2019-07";"110.45";"A"
"2019-06";"107.95";"A"
"2019-05";"113.3";"A"
"2019-04";"111.47";"A"
"2019-03";"113.6";"A"
"2019-02";"116.36";"A"
"2019-01";"113.16";"A"
"2018-12";"127.17";"A"
"2018-11";"112.85";"A"
"2018-10";"110.82";"A"
"2018-09";"111.08";"A"
"2018-08";"116.15";"A"
"2018-07";"117.36";"A"
"2018-06";"114.95";"A"
"2018-05";"116.73";"A"
"2018-04";"117.31";"A"
"2018-03";"97.75";"A"
"2018-02";"103.92";"A"
"2018-01";"109.2";"A"
"2017-12";"106.22";"A"
"2017-11";"109.95";"A"
"2017-10";"107.38";"A"
"2017-09";"106.65";"A"
"2017-08";"122.67";"A"
"2017-07";"107.61";"A"
"2017-06";"104.32";"A"
"2017-05";"111.69";"A"
"2017-04";"106.32";"A"
"2017-03";"110.22";"A"
"2017-02";"103.75";"A"
"2017-01";"106.61";"A"
"2016-12";"99.92";"A"
"2016-11";"102.74";"A"
"2016-10";"108.26";"A"
"2016-09";"101.77";"A"
"2016-08";"100.22";"A"
"2016-07";"99.54";"A"
"2016-06";"106.19";"A"
"2016-05";"102.64";"A"
"2016-04";"110.39";"A"
"2016-03";"102.18";"A"
"2016-02";"105.17";"A"
"2016-01";"110.59";"A"
"2015-12";"97.94";"A"
"2015-11";"91.8";"A"
"2015-10";"99.13";"A"
"2015-09";"106.06";"A"
"2015-08";"99.17";"A"
"2015-07";"98.12";"A"
"2015-06";"98.86";"A"
"2015-05";"102.34";"A"
"2015-04";"94.15";"A"
"2015-03";"102.74";"A"
"2015-02";"107.39";"A"
"2015-01";"102.3";"A"
"2014-12";"106.52";"A"
"2014-11";"94.53";"A"
"2014-10";"104.38";"A"
"2014-09";"99.9";"A"
"2014-08";"98.99";"A"
"2014-07";"111.26";"A"
"2014-06";"107.08";"A"
"2014-05";"97.96";"A"
"2014-04";"103.42";"A"
"2014-03";"105.01";"A"
"2014-02";"101.98";"A"
"2014-01";"101.07";"A"
"2013-12";"94.19";"A"
"2013-11";"110.83";"A"
"2013-10";"104.6";"A"
"2013-09";"106.51";"A"
"2013-08";"109.35";"A"
"2013-07";"105.18";"A"
"2013-06";"108.43";"A"
"2013-05";"102.77";"A"
"2013-04";"103.05";"A"
"2013-03";"94.91";"A"
"2013-02";"101.26";"A"
"2013-01";"92.02";"A"
"2012-12";"94.32";"A"
"2012-11";"95.26";"A"
"2012-10";"88.01";"A"
"2012-09";"88.44";"A"
"2012-08";"95.38";"A"
"2012-07";"86.79";"A"
"2012-06";"84.7";"A"
"2012-05";"88.36";"A"
"2012-04";"87.58";"A"
"2012-03";"95.38";"A"
"2012-02";"84.99";"A"
"2012-01";"89.44";"A"
"2011-12";"102.78";"A"
"2011-11";"88.05";"A"
"2011-10";"90.64";"A"
"2011-09";"89.61";"A"
"2011-08";"78.94";"A"
"2011-07";"85.9";"A"
"2011-06";"79.04";"A"
"2011-05";"84.54";"A"
"2011-04";"81.95";"A"
"2011-03";"78.8";"A"
"2011-02";"85.54";"A"
"2011-01";"81.18";"A"
"2010-12";"83.47";"A"
"2010-11";"73.08";"A"
"2010-10";"77.91";"A"
"2010-09";"81.32";"A"
"2010-08";"77.29";"A"
"2010-07";"77.29";"A"
"2010-06";"82.47";"A"
"2010-05";"83.61";"A"
"2010-04";"89.08";"A"
"2010-03";"75.02";"A"
"2010-02";"77.45";"A"
"2010-01";"90.83";"A"
"2009-12";"77.5";"A"
"2009-11";"87.05";"A"
"2009-10";"85.79";"A"
"2009-09";"81.75";"A"
"2009-08";"79.4";"A"
"2009-07";"76.52";"A"
"2009-06";"84.35";"A"
"2009-05";"76.48";"A"
"2009-04";"68.6";"A"
"2009-03";"80.17";"A"
"2009-02";"75.26";"A"
"2009-01";"80.06";"A"
"2008-12";"97.09";"A"
"2008-11";"81.15";"A"
"2008-10";"82.57";"A"
"2008-09";"80.84";"A"
"2008-08";"85.77";"A"
"2008-07";"83.82";"A"
"2008-06";"75.96";"A"
"2008-05";"76.35";"A"
"2008-04";"82.49";"A"
"2008-03";"81.98";"A"
"2008-02";"84.25";"A"
"2008-01";"71.96";"A"
"2007-12";"84.8";"A"
"2007-11";"76.83";"A"
"2007-10";"75.61";"A"
"2007-09";"76.05";"A"
"2007-08";"82.84";"A"
"2007-07";"85.88";"A"
"2007-06";"83.58";"A"
"2007-05";"81.71";"A"
"2007-04";"72.62";"A"
"2007-03";"78.49";"A"
"2007-02";"78.73";"A"
"2007-01";"78.68";"A"
"2006-12";"75.85";"A"
"2006-11";"71.72";"A"
"2006-10";"78.79";"A"
"2006-09";"87.73";"A"
"2006-08";"68.24";"A"
"2006-07";"79.82";"A"
"2006-06";"75.58";"A"
"2006-05";"83.58";"A"
"2006-04";"76.67";"A"
"2006-03";"77.2";"A"
"2006-02";"75.82";"A"
"2006-01";"74.85";"A"
"2005-12";"71.38";"A"
"2005-11";"77.3";"A"
"2005-10";"69.27";"A"
"2005-09";"71.7";"A"
"2005-08";"71.35";"A"
"2005-07";"70.29";"A"
"2005-06";"66.43";"A"
"2005-05";"70.21";"A"
"2005-04";"66.12";"A"
"2005-03";"60.15";"A"
"2005-02";"64.7";"A"
"2005-01";"60.2";"A"
"2004-12";"64.27";"A"
"2004-11";"65.48";"A"
"2004-10";"64.61";"A"
"2004-09";"61.84";"A"
"2004-08";"59.46";"A"
"2004-07";"54.82";"A"
"2004-06";"60.01";"A"
"2004-05";"52.13";"A"
"2004-04";"58.11";"A"
"2004-03";"56.86";"A"
"2004-02";"56.26";"A"
"2004-01";"59.2";"A"
"2003-12";"62.09";"A"
"2003-11";"55.8";"A"
"2003-10";"58.6";"A"
"2003-09";"58.58";"A"
"2003-08";"56.11";"A"
"2003-07";"56.47";"A"
"2003-06";"50.87";"A"
"2003-05";"59.18";"A"
"2003-04";"63.8";"A"
"2003-03";"61.16";"A"
"2003-02";"54.83";"A"
"2003-01";"61.26";"A"
"2002-12";"54.26";"A"
"2002-11";"58.07";"A"
"2002-10";"55.5";"A"
"2002-09";"56.32";"A"
"2002-08";"59.15";"A"
"2002-07";"52.98";"A"
"2002-06";"59.43";"A"
"2002-05";"56.82";"A"
"2002-04";"68.45";"A"
"2002-03";"63.17";"A"
"2002-02";"68.73";"A"
"2002-01";"62.17";"A"
"2001-12";"67.36";"A"
"2001-11";"63.44";"A"
"2001-10";"69.06";"A"
"2001-09";"66.56";"A"
"2001-08";"65.63";"A"
"2001-07";"66.8";"A"
"2001-06";"63.82";"A"
"2001-05";"66.16";"A"
"2001-04";"62.17";"A"
"2001-03";"72.02";"A"
"2001-02";"66.33";"A"
"2001-01";"67.88";"A"
"2000-12";"62.25";"A"
"2000-11";"64.95";"A"
"2000-10";"62.33";"A"
"2000-09";"61.32";"A"
"2000-08";"62.35";"A"
"2000-07";"68.54";"A"
"2000-06";"61.07";"A"
"2000-05";"64.28";"A"
"2000-04";"60.9";"A"
"2000-03";"64.85";"A"
"2000-02";"63.1";"A"
"2000-01";"60.4";"A"
"1999-12";"53.65";"A"
"1999-11";"65.46";"A"
"1999-10";"64.58";"A"
"1999-09";"64.75";"A"
"1999-08";"61.48";"A"
"1999-07";"64.98";"A"
"1999-06";"65.6";"A"
"1999-05";"58.82";"A"
